País de origen	Nationality	País de nacimiento	Five-year age group	Sex	Period	Total
Belgium	Spanish 	Spain	Total	Males	2019	348
Belgium	Spanish 	Spain	Total	Males	2018	372
Belgium	Spanish 	Spain	Total	Males	2017	416
Belgium	Spanish 	Spain	Total	Males	2016	346
Belgium	Spanish 	Spain	Total	Males	2015	335
Belgium	Spanish 	Spain	Total	Males	2014	358
Belgium	Spanish 	Spain	Total	Males	2013	286
Belgium	Spanish 	Spain	Total	Males	2012	291
Belgium	Spanish 	Spain	Total	Males	2011	311
Belgium	Spanish 	Spain	Total	Males	2010	282
Belgium	Spanish 	Spain	Total	Males	2009	260
Belgium	Spanish 	Spain	Total	Males	2008	240
Belgium	Spanish 	Spain	Total	Females	2019	395
Belgium	Spanish 	Spain	Total	Females	2018	416
Belgium	Spanish 	Spain	Total	Females	2017	363
Belgium	Spanish 	Spain	Total	Females	2016	359
Belgium	Spanish 	Spain	Total	Females	2015	365
Belgium	Spanish 	Spain	Total	Females	2014	320
Belgium	Spanish 	Spain	Total	Females	2013	298
Belgium	Spanish 	Spain	Total	Females	2012	281
Belgium	Spanish 	Spain	Total	Females	2011	282
Belgium	Spanish 	Spain	Total	Females	2010	266
Belgium	Spanish 	Spain	Total	Females	2009	243
Belgium	Spanish 	Spain	Total	Females	2008	212
Belgium	Spanish 	País de origen	Total	Males	2019	119
Belgium	Spanish 	País de origen	Total	Males	2018	152
Belgium	Spanish 	País de origen	Total	Males	2017	106
Belgium	Spanish 	País de origen	Total	Males	2016	113
Belgium	Spanish 	País de origen	Total	Males	2015	111
Belgium	Spanish 	País de origen	Total	Males	2014	77
Belgium	Spanish 	País de origen	Total	Males	2013	75
Belgium	Spanish 	País de origen	Total	Males	2012	77
Belgium	Spanish 	País de origen	Total	Males	2011	76
Belgium	Spanish 	País de origen	Total	Males	2010	74
Belgium	Spanish 	País de origen	Total	Males	2009	71
Belgium	Spanish 	País de origen	Total	Males	2008	81
Belgium	Spanish 	País de origen	Total	Females	2019	102
Belgium	Spanish 	País de origen	Total	Females	2018	140
Belgium	Spanish 	País de origen	Total	Females	2017	120
Belgium	Spanish 	País de origen	Total	Females	2016	98
Belgium	Spanish 	País de origen	Total	Females	2015	84
Belgium	Spanish 	País de origen	Total	Females	2014	67
Belgium	Spanish 	País de origen	Total	Females	2013	70
Belgium	Spanish 	País de origen	Total	Females	2012	48
Belgium	Spanish 	País de origen	Total	Females	2011	54
Belgium	Spanish 	País de origen	Total	Females	2010	52
Belgium	Spanish 	País de origen	Total	Females	2009	62
Belgium	Spanish 	País de origen	Total	Females	2008	65
Belgium	Spanish 	Otros	Total	Males	2019	90
Belgium	Spanish 	Otros	Total	Males	2018	81
Belgium	Spanish 	Otros	Total	Males	2017	81
Belgium	Spanish 	Otros	Total	Males	2016	102
Belgium	Spanish 	Otros	Total	Males	2015	67
Belgium	Spanish 	Otros	Total	Males	2014	69
Belgium	Spanish 	Otros	Total	Males	2013	57
Belgium	Spanish 	Otros	Total	Males	2012	38
Belgium	Spanish 	Otros	Total	Males	2011	26
Belgium	Spanish 	Otros	Total	Males	2010	27
Belgium	Spanish 	Otros	Total	Males	2009	20
Belgium	Spanish 	Otros	Total	Males	2008	17
Belgium	Spanish 	Otros	Total	Females	2019	43
Belgium	Spanish 	Otros	Total	Females	2018	64
Belgium	Spanish 	Otros	Total	Females	2017	68
Belgium	Spanish 	Otros	Total	Females	2016	62
Belgium	Spanish 	Otros	Total	Females	2015	56
Belgium	Spanish 	Otros	Total	Females	2014	57
Belgium	Spanish 	Otros	Total	Females	2013	52
Belgium	Spanish 	Otros	Total	Females	2012	31
Belgium	Spanish 	Otros	Total	Females	2011	20
Belgium	Spanish 	Otros	Total	Females	2010	24
Belgium	Spanish 	Otros	Total	Females	2009	18
Belgium	Spanish 	Otros	Total	Females	2008	25
Belgium	Extranjera	Spain	Total	Males	2019	18
Belgium	Extranjera	Spain	Total	Males	2018	18
Belgium	Extranjera	Spain	Total	Males	2017	16
Belgium	Extranjera	Spain	Total	Males	2016	39
Belgium	Extranjera	Spain	Total	Males	2015	22
Belgium	Extranjera	Spain	Total	Males	2014	48
Belgium	Extranjera	Spain	Total	Males	2013	28
Belgium	Extranjera	Spain	Total	Males	2012	26
Belgium	Extranjera	Spain	Total	Males	2011	14
Belgium	Extranjera	Spain	Total	Males	2010	17
Belgium	Extranjera	Spain	Total	Males	2009	14
Belgium	Extranjera	Spain	Total	Males	2008	16
Belgium	Extranjera	Spain	Total	Females	2019	22
Belgium	Extranjera	Spain	Total	Females	2018	23
Belgium	Extranjera	Spain	Total	Females	2017	36
Belgium	Extranjera	Spain	Total	Females	2016	40
Belgium	Extranjera	Spain	Total	Females	2015	17
Belgium	Extranjera	Spain	Total	Females	2014	33
Belgium	Extranjera	Spain	Total	Females	2013	32
Belgium	Extranjera	Spain	Total	Females	2012	23
Belgium	Extranjera	Spain	Total	Females	2011	20
Belgium	Extranjera	Spain	Total	Females	2010	18
Belgium	Extranjera	Spain	Total	Females	2009	20
Belgium	Extranjera	Spain	Total	Females	2008	15
Belgium	Extranjera	País de origen	Total	Males	2019	1,831
Belgium	Extranjera	País de origen	Total	Males	2018	1,795
Belgium	Extranjera	País de origen	Total	Males	2017	1,815
Belgium	Extranjera	País de origen	Total	Males	2016	1,392
Belgium	Extranjera	País de origen	Total	Males	2015	1,330
Belgium	Extranjera	País de origen	Total	Males	2014	1,059
Belgium	Extranjera	País de origen	Total	Males	2013	1,121
Belgium	Extranjera	País de origen	Total	Males	2012	1,051
Belgium	Extranjera	País de origen	Total	Males	2011	940
Belgium	Extranjera	País de origen	Total	Males	2010	862
Belgium	Extranjera	País de origen	Total	Males	2009	761
Belgium	Extranjera	País de origen	Total	Males	2008	840
Belgium	Extranjera	País de origen	Total	Females	2019	1,621
Belgium	Extranjera	País de origen	Total	Females	2018	1,490
Belgium	Extranjera	País de origen	Total	Females	2017	1,495
Belgium	Extranjera	País de origen	Total	Females	2016	1,155
Belgium	Extranjera	País de origen	Total	Females	2015	1,029
Belgium	Extranjera	País de origen	Total	Females	2014	889
Belgium	Extranjera	País de origen	Total	Females	2013	929
Belgium	Extranjera	País de origen	Total	Females	2012	892
Belgium	Extranjera	País de origen	Total	Females	2011	792
Belgium	Extranjera	País de origen	Total	Females	2010	740
Belgium	Extranjera	País de origen	Total	Females	2009	711
Belgium	Extranjera	País de origen	Total	Females	2008	791
Belgium	Extranjera	Otros	Total	Males	2019	614
Belgium	Extranjera	Otros	Total	Males	2018	560
Belgium	Extranjera	Otros	Total	Males	2017	468
Belgium	Extranjera	Otros	Total	Males	2016	467
Belgium	Extranjera	Otros	Total	Males	2015	382
Belgium	Extranjera	Otros	Total	Males	2014	428
Belgium	Extranjera	Otros	Total	Males	2013	392
Belgium	Extranjera	Otros	Total	Males	2012	321
Belgium	Extranjera	Otros	Total	Males	2011	257
Belgium	Extranjera	Otros	Total	Males	2010	215
Belgium	Extranjera	Otros	Total	Males	2009	188
Belgium	Extranjera	Otros	Total	Males	2008	225
Belgium	Extranjera	Otros	Total	Females	2019	402
Belgium	Extranjera	Otros	Total	Females	2018	384
Belgium	Extranjera	Otros	Total	Females	2017	374
Belgium	Extranjera	Otros	Total	Females	2016	336
Belgium	Extranjera	Otros	Total	Females	2015	249
Belgium	Extranjera	Otros	Total	Females	2014	260
Belgium	Extranjera	Otros	Total	Females	2013	234
Belgium	Extranjera	Otros	Total	Females	2012	206
Belgium	Extranjera	Otros	Total	Females	2011	189
Belgium	Extranjera	Otros	Total	Females	2010	222
Belgium	Extranjera	Otros	Total	Females	2009	184
Belgium	Extranjera	Otros	Total	Females	2008	191
Bulgaria	Spanish 	Spain	Total	Males	2019	15
Bulgaria	Spanish 	Spain	Total	Males	2018	10
Bulgaria	Spanish 	Spain	Total	Males	2017	16
Bulgaria	Spanish 	Spain	Total	Males	2016	11
Bulgaria	Spanish 	Spain	Total	Males	2015	6
Bulgaria	Spanish 	Spain	Total	Males	2014	14
Bulgaria	Spanish 	Spain	Total	Males	2013	23
Bulgaria	Spanish 	Spain	Total	Males	2012	20
Bulgaria	Spanish 	Spain	Total	Males	2011	21
Bulgaria	Spanish 	Spain	Total	Males	2010	11
Bulgaria	Spanish 	Spain	Total	Males	2009	18
Bulgaria	Spanish 	Spain	Total	Males	2008	13
Bulgaria	Spanish 	Spain	Total	Females	2019	9
Bulgaria	Spanish 	Spain	Total	Females	2018	10
Bulgaria	Spanish 	Spain	Total	Females	2017	3
Bulgaria	Spanish 	Spain	Total	Females	2016	5
Bulgaria	Spanish 	Spain	Total	Females	2015	7
Bulgaria	Spanish 	Spain	Total	Females	2014	4
Bulgaria	Spanish 	Spain	Total	Females	2013	4
Bulgaria	Spanish 	Spain	Total	Females	2012	13
Bulgaria	Spanish 	Spain	Total	Females	2011	12
Bulgaria	Spanish 	Spain	Total	Females	2010	7
Bulgaria	Spanish 	Spain	Total	Females	2009	4
Bulgaria	Spanish 	Spain	Total	Females	2008	14
Bulgaria	Spanish 	País de origen	Total	Males	2019	16
Bulgaria	Spanish 	País de origen	Total	Males	2018	13
Bulgaria	Spanish 	País de origen	Total	Males	2017	20
